Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
690,Seychelles,2005,110.0718,108.0359,84.75720000000001,79.0163,0,0,9.203999999999999,8.501,0
690,Seychelles,2010,108.789,112.1425,77.0421,72.4668,0,0,8.67,7.553999999999999,0
690,Seychelles,2014,116.52329999999999,114.3271,88.897,86.14,10.462200000000001,4.0487,8.812000000000001,7.277,0.47800000000000004
690,Seychelles,2015,116.49060000000001,115.69239999999999,94.3311,90.23490000000001,22.480399999999996,10.400500000000001,8.974,7.393999999999999,1.035
690,Seychelles,2017,108.71660000000001,110.31960000000001,94.80229999999999,88.5508,31.4719,13.7808,9.036999999999999,7.361999999999999,1.338
694,Sierra Leone,2001,87.1438,60.85959999999999,20.0031,28.3469,1.1155,2.8207999999999998,554.308,155.567,8.913
694,Sierra Leone,2002,0,0,0,0,1.0948,2.7387,0,0,9.040999999999999
694,Sierra Leone,2013,115.1118,114.6394,35.511599999999994,41.5861,0,0,1299.81,417.307,0
694,Sierra Leone,2015,112.1936,113.30279999999999,35.438500000000005,41.0879,0,0,1360.24,449.32,0
694,Sierra Leone,2017,120.0066,121.76100000000001,39.808,41.9224,0,0,1486.94,492.14000000000004,0
702,Singapore,2009,0,0,0,0,0,0,294.60200000000003,232.003,213.446
702,Singapore,2010,0,0,0,0,0,0,0,0,236.89100000000002
702,Singapore,2012,0,0,0,0,0,0,0,0,255.348
702,Singapore,2016,100.8504,100.6929,107.6506,108.5855,90.5745,77.85879999999999,236.94299999999998,179.676,195.125
703,Slovakia,2005,98.7634,97.6417,93.7281,92.84620000000001,45.5645,35.3503,242.459,662.659,181.41899999999998
703,Slovakia,2010,101.8885,100.99310000000001,92.7954,91.76010000000001,69.61710000000001,45.02290000000001,212.42100000000002,549.76,234.526
703,Slovakia,2014,100.22869999999999,99.3082,91.206,90.1458,64.2735,41.5824,213.766,464.957,197.854
